objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year,value_formula,,,HLICT_Code,Community_school
,Purbakhola Gaunpalika,PALPA,Purbakhola,Gaunpalika,5,46,497,50602,524 5 46 4 006,NP0546406,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 5 51 3 001,63
,Rambha Gaunpalika,PALPA,Rambha,Gaunpalika,5,46,499,50603,524 5 46 4 007,NP0546407,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 6 52 3 003,61
,Nisdi Gaunpalika,PALPA,Nisdi,Gaunpalika,5,46,496,50610,524 5 46 4 008,NP0546408,e_i_f_n_c_s,54,Community School,,Total number of schools community/institutional,,54,,,524 4 40 4 001,35
,Butwal Upamahanagarpalika,RUPANDEHI,Butwal,Upamahanagarpalika,5,48,511,50802,524 5 48 2 001,NP0548201,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 1 08 3 002,31
,Sainamaina Nagarpalika,RUPANDEHI,Sainamaina,Nagarpalika,5,48,521,50803,524 5 48 3 001,NP0548301,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 2 17 3 009,16
,Devdaha Nagarpalika,RUPANDEHI,Devdaha,Nagarpalika,5,48,512,50801,524 5 48 3 002,NP0548302,e_i_f_n_c_s,33,Community School,,Total number of schools community/institutional,,33,,,524 3 27 3 005,15
,Tillotama Nagarpalika,RUPANDEHI,Tillotama,Nagarpalika,5,48,526,50808,524 5 48 3 003,NP0548303,e_i_f_n_c_s,48,Community School,,Total number of schools community/institutional,,48,,,524 6 66 4 001,17
,Lumbini Sanskritik Nagarpalika,RUPANDEHI,Lumbini Sanskritik,Nagarpalika,5,48,516,50813,524 5 48 3 004,NP0548304,e_i_f_n_c_s,64,Community School,,Total number of schools community/institutional,,64,,,524 3 24 3 006,50
,Siddharthanagar Nagarpalika,RUPANDEHI,Siddharthanagar,Nagarpalika,5,48,523,50811,524 5 48 3 005,NP0548305,e_i_f_n_c_s,28,Community School,,Total number of schools community/institutional,,28,,,524 2 16 4 001,14
,Kanchan Gaunpalika,RUPANDEHI,Kanchan,Gaunpalika,5,48,514,50804,524 5 48 4 001,NP0548401,e_i_f_n_c_s,19,Community School,,Total number of schools community/institutional,,19,,,524 6 64 4 001,52
,Sudhdhodhan Gaunpalika,RUPANDEHI,Sudhdhodhan,Gaunpalika,5,48,525,50806,524 5 48 4 002,NP0548402,e_i_f_n_c_s,18,Community School,,Total number of schools community/institutional,,18,,,524 5 57 4 006,40
,Gaidahawa Gaunpalika,RUPANDEHI,Gaidahawa,Gaunpalika,5,48,513,50805,524 5 48 4 003,NP0548403,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 4 38 4 002,2
,Siyari Gaunpalika,RUPANDEHI,Siyari,Gaunpalika,5,48,524,50807,524 5 48 4 004,NP0548404,e_i_f_n_c_s,30,Community School,,Total number of schools community/institutional,,30,,,524 6 61 3 004,45
,Mayadevi Gaunpalika,RUPANDEHI,Mayadevi,Gaunpalika,5,48,518,50812,524 5 48 4 005,NP0548405,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 4 38 4 004,11
,Omsatiya Gaunpalika,RUPANDEHI,Omsatiya,Gaunpalika,5,48,519,50809,524 5 48 4 006,NP0548406,e_i_f_n_c_s,22,Community School,,Total number of schools community/institutional,,22,,,524 5 55 4 001,39
,Rohini Gaunpalika,RUPANDEHI,Rohini,Gaunpalika,5,48,520,50810,524 5 48 4 007,NP0548407,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 7 75 4 005,42
,Kotahimai Gaunpalika,RUPANDEHI,Kotahimai,Gaunpalika,5,48,515,50814,524 5 48 4 008,NP0548408,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 3 29 4 005,29
,Sammarimai Gaunpalika,RUPANDEHI,Sammarimai,Gaunpalika,5,48,522,50815,524 5 48 4 009,NP0548409,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 6 61 4 004,52
,Marchawari Gaunpalika,RUPANDEHI,Marchawari,Gaunpalika,5,48,517,50816,524 5 48 4 010,NP0548410,e_i_f_n_c_s,20,Community School,,Total number of schools community/institutional,,20,,,524 7 73 4 003,30
,Lumbini Sanskritik Development Area Development Area,RUPANDEHI,Lumbini Sanskritik Development Area,Development Area,5,48,527,50813,524 5 48 5 999,NP0548599,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 2 16 4 007,20
,Shivaraj Nagarpalika,KAPILBASTU,Shivaraj,Nagarpalika,5,49,535,50903,524 5 49 3 001,NP0549301,e_i_f_n_c_s,69,Community School,,Total number of schools community/institutional,,69,,,524 1 11 4 005,44
,Buddhabhumi Nagarpalika,KAPILBASTU,Buddhabhumi,Nagarpalika,5,49,530,50902,524 5 49 3 002,NP0549302,e_i_f_n_c_s,57,Community School,,Total number of schools community/institutional,,57,,,524 5 57 2 001,97
,Banganga Nagarpalika,KAPILBASTU,Banganga,Nagarpalika,5,49,528,50901,524 5 49 3 003,NP0549303,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 4 38 4 001,8
,Krishnanagar Nagarpalika,KAPILBASTU,Krishnanagar,Nagarpalika,5,49,532,50905,524 5 49 3 004,NP0549304,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 3 30 4 005,27
,Maharajgunj Nagarpalika,KAPILBASTU,Maharajgunj,Nagarpalika,5,49,533,50906,524 5 49 3 005,NP0549305,e_i_f_n_c_s,74,Community School,,Total number of schools community/institutional,,74,,,524 2 33 3 001,29
,Kapilbastu Nagarpalika,KAPILBASTU,Kapilbastu,Nagarpalika,5,49,531,50907,524 5 49 3 006,NP0549306,e_i_f_n_c_s,60,Community School,,Total number of schools community/institutional,,60,,,524 3 30 3 001,96
,Bijayanagar Gaunpalika,KAPILBASTU,Bijayanagar,Gaunpalika,5,49,529,50904,524 5 49 4 001,NP0549401,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 5 46 4 008,54
,Yashodhara Gaunpalika,KAPILBASTU,Yashodhara,Gaunpalika,5,49,537,50908,524 5 49 4 002,NP0549402,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 4 43 4 001,39
,Mayadevi Gaunpalika,KAPILBASTU,Mayadevi,Gaunpalika,5,49,534,50812,524 5 49 4 003,NP0549403,e_i_f_n_c_s,50,Community School,,Total number of schools community/institutional,,50,,,524 5 48 4 006,22
,Suddhodhan Gaunpalika,KAPILBASTU,Suddhodhan,Gaunpalika,5,49,536,50806,524 5 49 4 004,NP0549404,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 6 64 4 003,28
,Bhumekasthan Nagarpalika,ARGHAKHANCHI,Bhumekasthan,Nagarpalika,5,50,538,50503,524 5 50 3 001,NP0550301,e_i_f_n_c_s,64,Community School,,Total number of schools community/institutional,,64,,,524 2 33 3 004,18
,Sandhikharka Nagarpalika,ARGHAKHANCHI,Sandhikharka,Nagarpalika,5,50,542,50504,524 5 50 3 002,NP0550302,e_i_f_n_c_s,65,Community School,,Total number of schools community/institutional,,65,,,524 4 42 4 005,30
,Sitganga Nagarpalika,ARGHAKHANCHI,Sitganga,Nagarpalika,5,50,543,50506,524 5 50 3 003,NP0550303,e_i_f_n_c_s,109,Community School,,Total number of schools community/institutional,,109,,,524 2 34 4 009,16
,Malarani Gaunpalika,ARGHAKHANCHI,Malarani,Gaunpalika,5,50,540,50502,524 5 50 4 001,NP0550401,e_i_f_n_c_s,61,Community School,,Total number of schools community/institutional,,61,,,524 1 07 3 002,37
,Chhatradev Gaunpalika,ARGHAKHANCHI,Chhatradev,Gaunpalika,5,50,539,50501,524 5 50 4 002,NP0550402,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 6 64 4 004,32
,Panini Gaunpalika,ARGHAKHANCHI,Panini,Gaunpalika,5,50,541,50505,524 5 50 4 003,NP0550403,e_i_f_n_c_s,57,Community School,,Total number of schools community/institutional,,57,,,524 5 76 4 001,25
,Musikot Nagarpalika,GULMI,Musikot,Nagarpalika,5,51,490,50404,524 5 51 3 001,NP0551301,e_i_f_n_c_s,63,Community School,,Total number of schools community/institutional,,63,,,524 4 36 3 001,50
,Resunga Nagarpalika,GULMI,Resunga,Nagarpalika,5,51,491,50409,524 5 51 3 002,NP0551302,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 3 24 3 005,39
,Madane Gaunpalika,GULMI,Madane,Gaunpalika,5,51,488,50407,524 5 51 4 001,NP0551401,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 3 28 4 007,29
,Malika Gaunpalika,GULMI,Malika,Gaunpalika,5,51,489,40404,524 5 51 4 002,NP0551402,e_i_f_n_c_s,55,Community School,,Total number of schools community/institutional,,55,,,524 1 09 3 002,42
,Dhurkot Gaunpalika,GULMI,Dhurkot,Gaunpalika,5,51,484,50408,524 5 51 4 003,NP0551403,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 6 59 3 001,58
,Isma Gaunpalika,GULMI,Isma,Gaunpalika,5,51,486,50405,524 5 51 4 004,NP0551404,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 7 69 3 004,61
,Gulmidarbar Gaunpalika,GULMI,Gulmidarbar,Gaunpalika,5,51,485,50410,524 5 51 4 005,NP0551405,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 7 74 4 004,34
,Chandrakot Gaunpalika,GULMI,Chandrakot,Gaunpalika,5,51,482,50403,524 5 51 4 006,NP0551406,e_i_f_n_c_s,45,Community School,,Total number of schools community/institutional,,45,,,524 3 24 3 004,37
,Chatrakot Gaunpalika,GULMI,Chatrakot,Gaunpalika,5,51,483,50411,524 5 51 4 007,NP0551407,e_i_f_n_c_s,46,Community School,,Total number of schools community/institutional,,46,,,524 3 23 4 002,34
,Ruru Gaunpalika,GULMI,Ruru,Gaunpalika,5,51,492,50412,524 5 51 4 008,NP0551408,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 7 68 4 004,17
,Satyawati Gaunpalika,GULMI,Satyawati,Gaunpalika,5,51,493,50402,524 5 51 4 009,NP0551409,e_i_f_n_c_s,46,Community School,,Total number of schools community/institutional,,46,,,524 5 50 4 003,57
,Kaligandaki Gaunpalika,GULMI,Kaligandaki,Gaunpalika,5,51,487,40911,524 5 51 4 010,NP0551410,e_i_f_n_c_s,44,Community School,,Total number of schools community/institutional,,44,,,524 7 73 3 001,64
,Rolpa Nagarpalika,ROLPA,Rolpa,Nagarpalika,5,54,557,50207,524 5 54 3 001,NP0554301,e_i_f_n_c_s,67,Community School,,Total number of schools community/institutional,,67,,,524 2 33 4 001,6
,Sukidaha Gaunpalika,ROLPA,Sukidaha,Gaunpalika,5,54,559,50204,524 5 54 4 001,NP0554401,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 3 29 4 001,12
,Duikholi Gaunpalika,ROLPA,Duikholi,Gaunpalika,5,54,553,50203,524 5 54 4 002,NP0554402,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 2 32 3 012,23
,Thawang Gaunpalika,ROLPA,Thawang,Gaunpalika,5,54,562,50202,524 5 54 4 003,NP0554403,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 2 19 4 009,13
,Madi Gaunpalika,ROLPA,Madi,Gaunpalika,5,54,555,10209,524 5 54 4 004,NP0554404,e_i_f_n_c_s,33,Community School,,Total number of schools community/institutional,,33,,,524 2 34 3 003,30
,Sunchhahari Gaunpalika,ROLPA,Sunchhahari,Gaunpalika,5,54,560,50201,524 5 54 4 005,NP0554405,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 7 74 3 004,65
,Tribeni Gaunpalika,ROLPA,Tribeni,Gaunpalika,5,54,563,50206,524 5 54 4 006,NP0554406,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 6 63 4 003,16
,Suwarnabati Gaunpalika,ROLPA,Suwarnabati,Gaunpalika,5,54,561,50209,524 5 54 4 007,NP0554407,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 2 34 4 003,29
,Lungri Gaunpalika,ROLPA,Lungri,Gaunpalika,5,54,554,50210,524 5 54 4 008,NP0554408,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 1 05 3 004,27
,Runtigadi Gaunpalika,ROLPA,Runtigadi,Gaunpalika,5,54,558,50208,524 5 54 4 009,NP0554409,e_i_f_n_c_s,55,Community School,,Total number of schools community/institutional,,55,,,524 1 10 4 005,34
,Sworgadwary Nagarpalika,PYUTHAN,Sworgadwary,Nagarpalika,5,55,552,50305,524 5 55 3 001,NP0555301,e_i_f_n_c_s,55,Community School,,Total number of schools community/institutional,,55,,,524 1 01 4 001,43
,Pyuthan Nagarpalika,PYUTHAN,Pyuthan,Nagarpalika,5,55,550,50304,524 5 55 3 002,NP0555302,e_i_f_n_c_s,51,Community School,,Total number of schools community/institutional,,51,,,524 4 42 3 002,58
,Naubahini Gaunpalika,PYUTHAN,Naubahini,Gaunpalika,5,55,549,50302,524 5 55 4 001,NP0555401,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 2 32 3 003,22
,Gaumukhi Gaunpalika,PYUTHAN,Gaumukhi,Gaunpalika,5,55,545,50301,524 5 55 4 002,NP0555402,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 1 08 4 002,43
,Jhimruk Gaunpalika,PYUTHAN,Jhimruk,Gaunpalika,5,55,546,50303,524 5 55 4 003,NP0555403,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 4 41 4 002,27
,Mandavi Gaunpalika,PYUTHAN,Mandavi,Gaunpalika,5,55,548,50306,524 5 55 4 004,NP0555404,e_i_f_n_c_s,26,Community School,,Total number of schools community/institutional,,26,,,524 2 33 4 005,21
,Mallarani Gaunpalika,PYUTHAN,Mallarani,Gaunpalika,5,55,547,50307,524 5 55 4 005,NP0555405,e_i_f_n_c_s,25,Community School,,Total number of schools community/institutional,,25,,,524 1 02 3 001,80
,Sarumarani Gaunpalika,PYUTHAN,Sarumarani,Gaunpalika,5,55,551,50309,524 5 55 4 006,NP0555406,e_i_f_n_c_s,26,Community School,,Total number of schools community/institutional,,26,,,524 3 20 4 007,47
,Ayirabati Gaunpalika,PYUTHAN,Ayirabati,Gaunpalika,5,55,544,50308,524 5 55 4 007,NP0555407,e_i_f_n_c_s,44,Community School,,Total number of schools community/institutional,,44,,,524 1 01 3 001,51
,Tulsipur Upamahanagarpalika,DANG,Tulsipur,Upamahanagarpalika,5,56,590,51003,524 5 56 2 001,NP0556201,e_i_f_n_c_s,83,Community School,,Total number of schools community/institutional,,83,,,524 2 18 4 005,23
,Ghorahi Upamahanagarpalika,DANG,Ghorahi,Upamahanagarpalika,5,56,585,51002,524 5 56 2 002,NP0556202,e_i_f_n_c_s,100,Community School,,Total number of schools community/institutional,,100,,,524 4 39 1 001,223
,Lamahi Nagarpalika,DANG,Lamahi,Nagarpalika,5,56,586,51007,524 5 56 3 001,NP0556301,e_i_f_n_c_s,28,Community School,,Total number of schools community/institutional,,28,,,524 2 34 3 001,27
,Babai Gaunpalika,DANG,Babai,Gaunpalika,5,56,581,51005,524 5 56 4 001,NP0556401,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 2 33 4 002,9
,Dangisharan Gaunpalika,DANG,Dangisharan,Gaunpalika,5,56,583,51006,524 5 56 4 002,NP0556402,e_i_f_n_c_s,15,Community School,,Total number of schools community/institutional,,15,,,524 5 76 4 003,20
,Shantinagar Gaunpalika,DANG,Shantinagar,Gaunpalika,5,56,589,51004,524 5 56 4 003,NP0556403,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 7 74 3 002,88
,Rajpur Gaunpalika,DANG,Rajpur,Gaunpalika,5,56,587,20613,524 5 56 4 004,NP0556404,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 7 72 3 007,35
,Banglachuli Gaunpalika,DANG,Banglachuli,Gaunpalika,5,56,582,51001,524 5 56 4 005,NP0556405,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 5 46 4 006,37
,Gadhawa Gaunpalika,DANG,Gadhawa,Gaunpalika,5,56,584,51009,524 5 56 4 006,NP0556406,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 7 70 4 003,40
,Rapti Gaunpalika,DANG,Rapti,Gaunpalika,5,56,588,31301,524 5 56 4 007,NP0556407,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 4 41 3 001,74
,Nepalgunj Upamahanagarpalika,BANKE,Nepalgunj,Upamahanagarpalika,5,57,597,51106,524 5 57 2 001,NP0557201,e_i_f_n_c_s,97,Community School,,Total number of schools community/institutional,,97,,,524 5 77 4 002,47
,Kohalpur Nagarpalika,BANKE,Kohalpur,Nagarpalika,5,57,595,51102,524 5 57 3 001,NP0557301,e_i_f_n_c_s,40,Community School,,Total number of schools community/institutional,,40,,,524 5 55 3 002,51
,Khajura Gaunpalika,BANKE,Khajura,Gaunpalika,5,57,594,51104,524 5 57 4 001,NP0557401,e_i_f_n_c_s,53,Community School,,Total number of schools community/institutional,,53,,,524 4 44 4 002,33
,Baijanath Gaunpalika,BANKE,Baijanath,Gaunpalika,5,57,591,51103,524 5 57 4 002,NP0557402,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 5 46 4 001,61
,Janki Gaunpalika,BANKE,Janki,Gaunpalika,5,57,593,70808,524 5 57 4 003,NP0557403,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 4 37 3 004,39
,Duduwa Gaunpalika,BANKE,Duduwa,Gaunpalika,5,57,592,51107,524 5 57 4 004,NP0557404,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 5 58 3 001,38
,Rapti Sonari Gaunpalika,BANKE,Rapti Sonari,Gaunpalika,5,57,598,51101,524 5 57 4 005,NP0557405,e_i_f_n_c_s,58,Community School,,Total number of schools community/institutional,,58,,,524 2 15 3 008,44
,Narainapur Gaunpalika,BANKE,Narainapur,Gaunpalika,5,57,596,51108,524 5 57 4 006,NP0557406,e_i_f_n_c_s,40,Community School,,Total number of schools community/institutional,,40,,,524 2 32 3 016,22
,Rajapur Nagarpalika,BARDIYA,Rajapur,Nagarpalika,5,58,606,51205,524 5 58 3 001,NP0558301,e_i_f_n_c_s,38,Community School,,Total number of schools community/institutional,,38,,,524 5 56 4 004,32
,Madhuwan Nagarpalika,BARDIYA,Madhuwan,Nagarpalika,5,58,605,51206,524 5 58 3 002,NP0558302,e_i_f_n_c_s,33,Community School,,Total number of schools community/institutional,,33,,,524 2 32 3 014,21
,Thakurbaba Nagarpalika,BARDIYA,Thakurbaba,Nagarpalika,5,58,607,51203,524 5 58 3 003,NP0558303,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 3 31 4 002,54
,Gulariya Nagarpalika,BARDIYA,Gulariya,Nagarpalika,5,58,604,51207,524 5 58 3 004,NP0558304,e_i_f_n_c_s,48,Community School,,Total number of schools community/institutional,,48,,,524 2 18 3 005,18
,Barbardiya Nagarpalika,BARDIYA,Barbardiya,Nagarpalika,5,58,602,51202,524 5 58 3 005,NP0558305,e_i_f_n_c_s,45,Community School,,Total number of schools community/institutional,,45,,,524 7 69 4 004,46
,Bansagadhi Nagarpalika,BARDIYA,Bansagadhi,Nagarpalika,5,58,600,51201,524 5 58 3 006,NP0558306,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 5 46 4 007,37
,Geruwa Gaunpalika,BARDIYA,Geruwa,Gaunpalika,5,58,603,51204,524 5 58 4 001,NP0558401,e_i_f_n_c_s,33,Community School,,Total number of schools community/institutional,,33,,,524 1 06 3 002,29
,Badhaiyatal Gaunpalika,BARDIYA,Badhaiyatal,Gaunpalika,5,58,599,51208,524 5 58 4 002,NP0558402,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 3 21 3 002,64
,Bardiya National Park National Park,BARDIYA,Bardiya National Park,National Park,5,58,608,99994,524 5 58 5 997,NP0558597,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 5 76 3 003,30
,Sunwal Nagarpalika,NAWALPARASI_W,Sunwal,Nagarpalika,5,76,509,50702,524 5 76 3 001,NP0576301,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 2 19 4 005,18
,Bardaghat Nagarpalika,NAWALPARASI_W,Bardaghat,Nagarpalika,5,76,504,50701,524 5 76 3 002,NP0576302,e_i_f_n_c_s,40,Community School,,Total number of schools community/institutional,,40,,,524 1 10 4 004,34
,Ramgram Nagarpalika,NAWALPARASI_W,Ramgram,Nagarpalika,5,76,507,50703,524 5 76 3 003,NP0576303,e_i_f_n_c_s,30,Community School,,Total number of schools community/institutional,,30,,,524 5 46 3 002,51
,Palhi Nandan Gaunpalika,NAWALPARASI_W,Palhi Nandan,Gaunpalika,5,76,505,50704,524 5 76 4 001,NP0576401,e_i_f_n_c_s,25,Community School,,Total number of schools community/institutional,,25,,,524 1 05 3 006,28
,Sarawal Gaunpalika,NAWALPARASI_W,Sarawal,Gaunpalika,5,76,508,50705,524 5 76 4 002,NP0576402,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 5 56 4 007,31
,Pratappur Gaunpalika,NAWALPARASI_W,Pratappur,Gaunpalika,5,76,506,50706,524 5 76 4 003,NP0576403,e_i_f_n_c_s,20,Community School,,Total number of schools community/institutional,,20,,,524 3 35 3 004,54
,Susta Gaunpalika,NAWALPARASI_W,Susta,Gaunpalika,5,76,510,50707,524 5 76 4 004,NP0576404,e_i_f_n_c_s,25,Community School,,Total number of schools community/institutional,,25,,,524 5 57 4 005,58
,Sisne Gaunpalika,RUKUM_W,Sisne,Gaunpalika,5,77,777,50102,524 5 77 4 001,NP0577401,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 6 64 3 001,25
,Putha Uttarganga Gaunpalika,RUKUM_W,Putha Uttarganga,Gaunpalika,5,77,776,50101,524 5 77 4 002,NP0577402,e_i_f_n_c_s,47,Community School,,Total number of schools community/institutional,,47,,,524 3 35 3 002,33
,Bhume Gaunpalika,RUKUM_W,Bhume,Gaunpalika,5,77,775,50103,524 5 77 4 003,NP0577403,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 1 05 3 008,45
,Dhorpatan Hunting Reserve Hunting Reserve,RUKUM_W,Dhorpatan Hunting Reserve,Hunting Reserve,5,77,778,99993,524 5 77 5 998,NP0577598,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 1 14 4 004,60
,Aathbiskot Nagarpalika,RUKUM_E,Aathbiskot,Nagarpalika,6,52,564,60605,524 6 52 3 001,NP0652301,e_i_f_n_c_s,59,Community School,,Total number of schools community/institutional,,59,,,524 5 51 3 002,36
,Chaurjahari Nagarpalika,RUKUM_E,Chaurjahari,Nagarpalika,6,52,566,60806,524 6 52 3 002,NP0652302,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 4 40 4 003,50
,Musikot Nagarpalika,RUKUM_E,Musikot,Nagarpalika,6,52,568,50404,524 6 52 3 003,NP0652303,e_i_f_n_c_s,61,Community School,,Total number of schools community/institutional,,61,,,524 5 46 4 003,37
,Sani Bheri Gaunpalika,RUKUM_E,Sani Bheri,Gaunpalika,6,52,569,60802,524 6 52 4 001,NP0652401,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 5 48 4 007,29
,Banfikot Gaunpalika,RUKUM_E,Banfikot,Gaunpalika,6,52,565,60803,524 6 52 4 002,NP0652402,e_i_f_n_c_s,47,Community School,,Total number of schools community/institutional,,47,,,524 5 54 3 001,67
,Tribeni Gaunpalika,RUKUM_E,Tribeni,Gaunpalika,6,52,570,50206,524 6 52 4 003,NP0652403,e_i_f_n_c_s,44,Community School,,Total number of schools community/institutional,,44,,,524 1 03 4 006,31
,Bangad Kupinde Nagarpalika,SALYAN,Bangad Kupinde,Nagarpalika,6,53,572,60903,524 6 53 3 001,NP0653301,e_i_f_n_c_s,66,Community School,,Total number of schools community/institutional,,66,,,524 3 24 4 004,72
,Bagchaur Nagarpalika,SALYAN,Bagchaur,Nagarpalika,6,53,571,60905,524 6 53 3 002,NP0653302,e_i_f_n_c_s,70,Community School,,Total number of schools community/institutional,,70,,,524 3 30 4 001,23
,Sharada Nagarpalika,SALYAN,Sharada,Nagarpalika,6,53,579,60907,524 6 53 3 003,NP0653303,e_i_f_n_c_s,57,Community School,,Total number of schools community/institutional,,57,,,524 5 54 4 009,55
,Kumakhmalika Gaunpalika,SALYAN,Kumakhmalika,Gaunpalika,6,53,578,60902,524 6 53 4 001,NP0653401,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 4 39 4 004,36
,Darma Gaunpalika,SALYAN,Darma,Gaunpalika,6,53,574,60901,524 6 53 4 002,NP0653402,e_i_f_n_c_s,35,Community School,,Total number of schools community/institutional,,35,,,524 1 12 3 002,93
,Dhorchaur Gaunpalika,SALYAN,Dhorchaur,Gaunpalika,6,53,575,60904,524 6 53 4 003,NP0653403,e_i_f_n_c_s,28,Community School,,Total number of schools community/institutional,,28,,,524 2 15 4 001,15
,Kalimati Gaunpalika,SALYAN,Kalimati,Gaunpalika,6,53,576,60908,524 6 53 4 004,NP0653404,e_i_f_n_c_s,52,Community School,,Total number of schools community/institutional,,52,,,524 5 51 4 008,49
,Chhatreshwori Gaunpalika,SALYAN,Chhatreshwori,Gaunpalika,6,53,573,60906,524 6 53 4 005,NP0653405,e_i_f_n_c_s,40,Community School,,Total number of schools community/institutional,,40,,,524 2 17 3 006,26
,Tribeni Gaunpalika,SALYAN,Tribeni,Gaunpalika,6,53,580,50206,524 6 53 4 006,NP0653406,e_i_f_n_c_s,30,Community School,,Total number of schools community/institutional,,30,,,524 1 09 4 005,30
,Kapurkot Gaunpalika,SALYAN,Kapurkot,Gaunpalika,6,53,577,60910,524 6 53 4 007,NP0653407,e_i_f_n_c_s,26,Community School,,Total number of schools community/institutional,,26,,,524 5 48 3 001,24
,Panchpuri Nagarpalika,SURKHET,Panchpuri,Nagarpalika,6,59,616,61008,524 6 59 3 001,NP0659301,e_i_f_n_c_s,58,Community School,,Total number of schools community/institutional,,58,,,524 1 12 4 005,28
,Bheriganga Nagarpalika,SURKHET,Bheriganga,Nagarpalika,6,59,610,61005,524 6 59 3 002,NP0659302,e_i_f_n_c_s,48,Community School,,Total number of schools community/institutional,,48,,,524 2 16 4 008,19
,Birendranagar Nagarpalika,SURKHET,Birendranagar,Nagarpalika,6,59,611,61006,524 6 59 3 003,NP0659303,e_i_f_n_c_s,73,Community School,,Total number of schools community/institutional,,73,,,524 2 34 4 004,28
,Lekbeshi Nagarpalika,SURKHET,Lekbeshi,Nagarpalika,6,59,615,61003,524 6 59 3 004,NP0659304,e_i_f_n_c_s,46,Community School,,Total number of schools community/institutional,,46,,,524 1 10 4 001,41
,Gurbhakot Nagarpalika,SURKHET,Gurbhakot,Nagarpalika,6,59,614,61004,524 6 59 3 005,NP0659305,e_i_f_n_c_s,74,Community School,,Total number of schools community/institutional,,74,,,524 5 48 4 009,34
